date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:22	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2027%20Jun%202011%2017:13:22%20GMT	http://jquerymobile.com/robots.txt		(from )
18:13:23	2815/2815	---M--	200	added ('OK')	text/html	etag:%229000aea-aff-d50ccb80%22	http://jquerymobile.com/demos/1.0b1/	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/index.html	(from )
18:13:23	42005/42005	---M--	200	added ('OK')	text/css	etag:%2259010e-a415-d00b0e80+gzip%22	http://code.jquery.com/mobile/1.0b1/jquery.mobile-1.0b1.min.css	D:/My%20Web%20Sites/jquerymobile%20demo%20site/code.jquery.com/mobile/1.0b1/jquery.mobile-1.0b1.min.css	(from )
18:13:23	4959/4959	---M--	200	added ('OK')	text/css	etag:%229000012-135f-d0b2e740%22	http://jquerymobile.com/demos/1.0b1/docs/_assets/css/jqm-docs.css	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/_assets/css/jqm-docs.css	(from )
18:13:23	91342/91342	---M--	200	added ('OK')	application/x-javascript	etag:%229e68c36-164ce-dcfdb640+gzip%22	http://code.jquery.com/jquery-1.6.1.min.js	D:/My%20Web%20Sites/jquerymobile%20demo%20site/code.jquery.com/jquery-1.6.1.min.js	(from )
18:13:25	1435/1435	---M--	200	added ('OK')	application/x-javascript	etag:%229010264-59b-d4fd8940%22	http://jquerymobile.com/demos/1.0b1/experiments/themeswitcher/jquery.mobile.themeswitcher.js	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/experiments/themeswitcher/jquery.mobile.themeswitcher.js	(from )
18:13:25	1247/1247	---M--	200	added ('OK')	application/x-javascript	etag:%229000026-4df-d0d16bc0%22	http://jquerymobile.com/demos/1.0b1/docs/_assets/js/jqm-docs.js	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/_assets/js/jqm-docs.js	(from )
18:13:25	66639/66639	---M--	200	added ('OK')	application/x-javascript	etag:%22590112-1044f-d00b0e80+gzip%22	http://code.jquery.com/mobile/1.0b1/jquery.mobile-1.0b1.min.js	D:/My%20Web%20Sites/jquerymobile%20demo%20site/code.jquery.com/mobile/1.0b1/jquery.mobile-1.0b1.min.js	(from )
18:13:25	3790/3790	---M--	200	added ('OK')	image/png	etag:%22900001a-ece-d0c22980%22	http://jquerymobile.com/demos/1.0b1/docs/_assets/images/jquery-logo.png	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/_assets/images/jquery-logo.png	(from )
18:13:26	3478/3478	---M--	200	added ('OK')	text/html	etag:%22900002c-d96-d0e0ae00%22	http://jquerymobile.com/demos/1.0b1/docs/about/features.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/about/features.html	(from )
18:13:26	3240/3240	---M--	200	added ('OK')	text/html	etag:%229000030-ca8-d0e0ae00%22	http://jquerymobile.com/demos/1.0b1/docs/about/intro.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/about/intro.html	(from )
18:13:26	2675/2675	---M--	200	added ('OK')	text/html	etag:%22900002a-a73-d0e0ae00%22	http://jquerymobile.com/demos/1.0b1/docs/about/accessibility.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/about/accessibility.html	(from )
18:13:26	7956/7956	---M--	200	added ('OK')	text/html	etag:%229000032-1f14-d0eff040%22	http://jquerymobile.com/demos/1.0b1/docs/about/platforms.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/about/platforms.html	(from )
18:13:26	1707/1707	---M--	200	added ('OK')	text/html	etag:%2290009ce-6ab-d23fa1c0%22	http://jquerymobile.com/demos/1.0b1/docs/pages/index.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/pages/index.html	(from )
18:13:27	1818/1818	---M--	200	added ('OK')	text/html	etag:%229000ae8-71a-d29b2f40%22	http://jquerymobile.com/demos/1.0b1/docs/toolbars/index.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/toolbars/index.html	(from )
18:13:27	1486/1486	---M--	200	added ('OK')	text/html	etag:%229000050-5ce-d11db700%22	http://jquerymobile.com/demos/1.0b1/docs/buttons/index.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/buttons/index.html	(from )
18:13:27	1711/1711	---M--	200	added ('OK')	text/html	etag:%22900005e-6af-d12cf940%22	http://jquerymobile.com/demos/1.0b1/docs/content/index.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/content/index.html	(from )
18:13:27	2117/2117	---M--	200	added ('OK')	text/html	etag:%2290000b0-845-d16a0240%22	http://jquerymobile.com/demos/1.0b1/docs/forms/index.html	D:/My%20Web%20Sites/jquerymobile%20demo%20site/jquerymobile.com/demos/1.0b1/docs/forms/index.html	(from )
